Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
93,1,AlexsonT,1,0,0,2,3,3,2,1.5,2,0.5,0.33333333333333,0,0,--,0,0,2,0.83333333333333,0.33333333333333,0.5,1,0,0,0,D Denali Div 1,6,Denali,DeekerA
93,1,AlfanoS,0,1,0,0,-1,3,2,1.5,2,0.5,0.33333333333333,4,3,1.3333333333333,2,0.6,0,0.83333333333333,0.93333333333333,1.1,0,0,1,0,D Isthmus Div 2,20,Isthmus,WechtB
93,1,AlfordP,0,1,0,0,-2,3,3,1,1,0.2,0.5,5,3,1.6666666666667,3,0.4,-2,0.7,0.9,0.6,0,0,0,0,C Commonwealth Div 2,17,Commonwealth,BarocasV
93,1,AlianielloD,0,1,0,0,-1,3,1,3,3,1,0.16666666666667,4,2,2,3,0.25,0,1.1666666666667,0.41666666666667,1.25,0,0,1,0,E Savanna Div 1,20,Savanna,SuthersE
93,1,AliF,0,0,1,1,0,6,4,1.5,2,0.5,0.66666666666667,6,5,1.2,0,1,2,1.1666666666667,1.6666666666667,1.5,0,0,1,0,A Delta,14,Delta,AliF
93,1,AliH,1,0,0,2,3,3,2,1.5,2,0.5,0.33333333333333,0,0,--,0,0,2,0.83333333333333,0.33333333333333,0.5,0,0,0,1,E Prairie Div 2,6,Prairie,VaidyaR
93,1,AliM,0,1,0,0,-3,5,4,1.25,1,0.25,0.66666666666667,8,4,2,4,0,-3,0.91666666666667,0.66666666666667,0.25,0,0,1,0,A Patagonia,23,Patagonia,WatkinsAF
93,1,AlimiN,1,0,0,2,5,7,4,1.75,3,0.75,0.66666666666667,2,1,2,2,0.33333333333333,1,1.4166666666667,1,1.0833333333333,0,0,1,0,E Pacific Div 2,5,Pacific,StandishJ
93,1,AliMinna,0,1,0,0,-2,0,1,0,0,0,0.16666666666667,2,1,2,2,0.33333333333333,-2,0.16666666666667,0.5,0.33333333333333,0,0,0,0,E Central Div 2,29,Central,LindemulderA
93,1,AliS2,0,0,1,1,0,3,3,1,1,0.2,0.5,3,3,1,1,0.8,0,0.7,1.3,1,0,0,0,0,R Memorial,12,Memorial,KushnerJ
93,1,AliZ,0,1,0,0,-2,3,2,1.5,2,0.5,0.33333333333333,5,3,1.6666666666667,3,0.4,-1,0.83333333333333,0.73333333333333,0.9,0,0,0,3,D Yukon Div 2,22,Yukon,ChakrabartyK
93,1,AllainB,1,0,0,2,2,3,2,1.5,2,0.5,0.33333333333333,1,1,1,1,0.66666666666667,1,0.83333333333333,1,1.1666666666667,0,0,0,1,D Sequoia Div 1,11,Sequoia,SorensonG
93,1,AllardC,1,0,0,2,5,5,3,1.6666666666667,3,0.6,0.5,0,0,--,0,0,3,1.1,0.5,0.6,1,0,0,0,B Metro,4,Metro,AlvaradoC
93,1,AllardM,1,0,0,2,1,2,1,2,2,0.66666666666667,0.16666666666667,1,2,0.5,0,1,2,0.83333333333333,1.1666666666667,1.6666666666667,0,0,0,1,D Isthmus Div 2,16,Isthmus,AllardM
93,1,AllardMa,0,1,0,0,-1,0,0,--,0,0,0,1,2,0.5,0,1,0,0,1,1,0,0,0,1,E Zenith Div 2,24,Zenith,MercureT
93,1,Allen-NiesenK2,1,0,0,2,4,6,4,1.5,2,0.5,0.66666666666667,2,2,1,1,0.75,1,1.1666666666667,1.4166666666667,1.25,0,0,1,0,D Magnolia Div 1,6,Magnolia,YeungL
93,1,Allen-SilviaZ,0,0,1,1,0,4,4,1,0,0,0.66666666666667,4,4,1,0,1,0,0.66666666666667,1.6666666666667,1,0,0,0,1,B Central,17,Central,Allen-SilviaZ
93,1,AllenA3,0,0,1,1,0,5,3,1.6666666666667,3,0.6,0.5,5,4,1.25,1,0.75,2,1.1,1.25,1.35,0,0,1,0,D Memorial Div 1,11,Memorial,SausvilleK
93,1,AllenB,1,0,0,2,2,4,2,2,3,0.75,0.33333333333333,2,3,0.66666666666667,0,1,3,1.0833333333333,1.3333333333333,1.75,0,0,0,0,D Pacific Div 2,6,Pacific,WaxmanJ
93,1,AllenB44,1,0,0,2,4,6,5,1.2,0,0,0.83333333333333,2,2,1,1,0.75,-1,0.83333333333333,1.5833333333333,0.75,0,0,0,0,R Patagonia,3,Patagonia,EllwangerJ
93,1,AllenBA,0,1,0,0,-3,3,3,1,1,0.2,0.5,6,3,2,4,0.2,-3,0.7,0.7,0.4,0,0,0,0,D Laguna Div 2,25,Laguna,AntonA
93,1,AllenC,1,0,0,2,8,8,5,1.6,2,0.66666666666667,0.83333333333333,0,0,--,0,0,2,1.5,0.83333333333333,0.66666666666667,1,0,0,0,C Polaris Div 1,1,Polaris,CottB
93,1,AllenC2,1,0,0,2,5,5,3,1.6666666666667,3,0.6,0.5,0,0,--,0,0,3,1.1,0.5,0.6,1,0,0,0,C Meadow Div 2,1,Meadow,ChongJ
93,1,AllenCC,0,1,0,0,-3,4,4,1,0,0,0.66666666666667,7,5,1.4,1,0.66666666666667,-1,0.66666666666667,1.3333333333333,0.66666666666667,0,0,0,0,A Arcadia,22,Arcadia,BanksL
93,1,AllenD2,1,0,0,2,1,3,2,1.5,2,0.5,0.33333333333333,2,1,2,2,0.33333333333333,0,0.83333333333333,0.66666666666667,0.83333333333333,0,0,0,0,D Alpine Div 2,13,Alpine,VinyardS
93,1,AllenD7,1,0,0,2,4,7,5,1.4,1,0.33333333333333,0.83333333333333,3,3,1,1,0.8,0,1.1666666666667,1.6333333333333,1.1333333333333,0,0,1,0,C Garden Div 1,2,Garden,ZawistowskiS
93,1,AllenDE,0,1,0,-1,-2,0,0,--,0,0,0,2,1,2,2,0.33333333333333,-2,0,0.33333333333333,0.33333333333333,0,1,0,0,E Blue Div 1,31,Blue,AlayonJ
93,1,AllenDG,0,1,0,0,-5,4,4,1,0,0,0.66666666666667,9,6,1.5,0,0,0,0.66666666666667,0.66666666666667,0,0,0,0,0,A Village,25,Village,WittlinM
93,1,AllenDRV,0,1,0,0,-2,2,2,1,1,0.25,0.33333333333333,4,3,1.3333333333333,2,0.6,-1,0.58333333333333,0.93333333333333,0.85,0,0,0,0,D Cascade Div 2,26,Cascade,LakeT
93,1,AllenDug,1,0,0,2,1,4,2,2,3,0.75,0.33333333333333,3,2,1.5,2,0.5,1,1.0833333333333,0.83333333333333,1.25,0,0,1,1,C Alpine Div 1,10,Alpine,VinyardS
93,1,AllenE2,0,1,0,0,-1,2,1,2,2,0.66666666666667,0.16666666666667,3,2,1.5,2,0.5,0,0.83333333333333,0.66666666666667,1.1666666666667,0,0,0,0,E Foundry Div 2,25,Foundry,BasuN
93,1,AllenI,1,0,0,2,1,2,2,1,1,0.25,0.33333333333333,1,2,0.5,0,1,1,0.58333333333333,1.3333333333333,1.25,0,0,0,0,E Prairie Div 1,15,Prairie,LipkinA
93,1,AllenJ2,0,0,1,1,0,6,5,1.2,0,0,0.83333333333333,6,5,1.2,0,1,0,0.83333333333333,1.8333333333333,1,0,0,0,0,A Midland,15,Midland,RaphelB
93,1,AllenJC,1,0,0,2,5,5,4,1.25,1,0.25,0.66666666666667,0,1,0,0,1,1,0.91666666666667,1.6666666666667,1.25,0,0,0,0,C Metro Div 2,4,Metro,ZalcensteinA
93,1,AllenLR,1,0,0,2,6,9,5,1.8,3,1,0.83333333333333,3,3,1,1,0.8,2,1.8333333333333,1.6333333333333,1.8,0,0,1,0,D Plaza Div 2,2,Plaza,BreedingJ
93,1,Allenmb12,1,0,0,2,3,6,4,1.5,2,0.5,0.66666666666667,3,1,3,3,0,-1,1.1666666666667,0.66666666666667,0.5,0,0,1,0,R Utopia,7,Utopia,TeneryD
93,1,AllenN,1,0,0,2,5,8,5,1.6,2,0.66666666666667,0.83333333333333,3,3,1,1,0.8,1,1.5,1.6333333333333,1.4666666666667,0,0,1,1,C Union Div 1,3,Union,ZellwegerS
93,1,AllenNM,1,0,0,2,2,6,3,2,4,0.8,0.5,4,2,2,3,0.25,1,1.3,0.75,1.05,0,0,1,0,D Orange Div 1,11,Orange,ShahSR
93,1,AllenPD,0,1,0,0,-1,8,5,1.6,2,0.66666666666667,0.83333333333333,9,6,1.5,0,0,2,1.5,0.83333333333333,0.66666666666667,0,0,1,0,A Serengeti,15,Serengeti,CantorN
