season,league
79,Midland
79,Commonwealth
79,Garden
79,Zephyr
79,Olympic
79,Lyceum
79,Corridor
79,Canyon
79,Glacier
79,Memorial
79,Maelstrom
79,Mesa
79,Magnolia
79,Laguna
79,Laurel
79,Palisade
79,Sugarloaf
79,Atlantic
79,Sequoia
79,Nebula
79,Yukon
79,Galaxy
79,Central
79,Bayou
79,Isthmus
79,Continental
79,Meridian
79,Arcadia
79,Typhoon
79,Frontier
79,Pacific
79,Highland
79,Skyline
79,Cascade
79,Elysium
79,Archipelago
79,Peninsula
79,Taiga
79,Piedmont
79,Coastal
79,Summit
79,Juniper
79,Polaris
79,Prairie
79,Zenith
79,Tundra
79,Valley
79,Citadel
79,Fjord
79,Tidewater
79,Sierra
79,Badlands
79,Seaboard
79,Rubicon
79,Metro
80,Plaza
80,Maritime
80,Alpine
80,Horizon
80,Delta
80,Morningstar
80,Midland
80,Commonwealth
80,Garden
80,Zephyr
80,Olympic
80,Lyceum
80,Corridor
80,Canyon
80,Glacier
80,Memorial
80,Maelstrom
80,Mesa
80,Magnolia
80,Laguna
80,Laurel
80,Palisade
80,Sugarloaf
80,Atlantic
80,Sequoia
80,Nebula
80,Yukon
80,Galaxy
80,Central
80,Bayou
80,Isthmus
80,Continental
80,Meridian
80,Arcadia
80,Typhoon
80,Frontier
80,Pacific
80,Highland
80,Skyline
80,Cascade
80,Elysium
80,Archipelago
80,Peninsula
80,Taiga
80,Piedmont
80,Coastal
80,Summit
80,Juniper
80,Polaris
80,Prairie
80,Zenith
80,Tundra
80,Valley
80,Citadel
80,Fjord
80,Tidewater
80,Sierra
80,Badlands
80,Seaboard
80,Rubicon
80,Metro
81,Plaza
81,Maritime
81,Alpine
81,Horizon
81,Delta
81,Morningstar
81,Midland
81,Xanadu
81,Commonwealth
81,Garden
81,Zephyr
81,Olympic
81,Outback
81,Lyceum
81,Corridor
81,Canyon
81,Glacier
81,Memorial
81,Maelstrom
81,Mesa
81,Magnolia
81,Laguna
81,Laurel
81,Palisade
81,Sugarloaf
81,Atlantic
81,Sequoia
81,Nebula
81,Savanna
81,Galaxy
81,Yukon
81,Central
81,Bayou
81,Isthmus
81,Continental
81,Meridian
81,Arcadia
81,Typhoon
81,Frontier
81,Pacific
81,Highland
81,Skyline
81,Aurora
81,Cascade
81,Elysium
81,Archipelago
81,Peninsula
81,Taiga
81,Piedmont
81,Coastal
81,Summit
81,Juniper
81,Polaris
81,Prairie
81,Zenith
81,Tundra
81,Valley
81,Citadel
81,Fjord
81,Tidewater
81,Sierra
81,Badlands
81,Seaboard
81,Rubicon
81,Metro
82,Plaza
82,Maritime
82,Alpine
82,Horizon
82,Delta
82,Morningstar
82,Midland
82,Xanadu
82,Commonwealth
82,Ravenna
82,Garden
82,Zephyr
82,Olympic
82,Outback
82,Lyceum
82,Corridor
82,Canyon
82,Glacier
82,Memorial
82,Maelstrom
